"","park","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign"
"23","GEWA",3,6,8,"c3",2.2144871372852,12.054157618686,7.2027983236842,"3","1"
"24","GARI",1,26,9,"c1",-0.769708809273128,1.69656649898279,0.459592216186724,"1","1"
"25","GARI",2,38,9,"c2",-0.0919154994676269,2.1231948726804,1.03310985717396,"2","1"
"26","GARI",3,43,9,"c3",0.466007481009602,2.86830848193696,1.6066274981612,"3","1"
"27","FRSP",1,104,10,"c1",-0.0798987614683107,0.410654102495588,0.167482282173696,"1","0"
"28","FRSP",2,104,10,"c2",0.0265564679872276,0.421646657952776,0.222294498782895,"2","0"
"29","FRSP",3,104,10,"c3",0.0387376990704573,0.503349611718838,0.277106715392094,"3","0"
"30","THST",1,8,11,"c1",-2.55474174323922,11.4287497960106,4.23290276424031,"1","0"
"31","THST",2,8,11,"c2",2.66801238109416,14.2970619289137,8.52316201603607,"2","0"
"32","THST",3,6,11,"c3",5.14766753253773,20.8723714203302,12.8134212678318,"3","0"
"33","PRWI",1,145,12,"c1",-0.0196780537644137,1.64470002776419,0.848280514571785,"1","0"
"34","PRWI",2,145,12,"c2",-0.0553930107327076,1.57788476331041,0.783186006605795,"2","0"
"35","PRWI",3,145,12,"c3",-0.120716370279175,1.55749393623517,0.718091498639805,"3","0"
"36","MANA",1,17,13,"c1",4.15827727876397,25.4225413256906,14.7767951736338,"1","1"
"37","MANA",2,17,13,"c2",7.88207562898458,28.6693021838147,18.2448827562314,"2","1"
"38","MANA",3,17,13,"c3",10.5532196996967,32.5227625219769,21.712970338829,"3","1"
"39","NACE",1,45,14,"c1",10.5518062428356,24.045345776941,17.2105255136253,"1","0"
"40","NACE",2,47,14,"c2",11.2859565810634,23.659829856715,17.4012313406182,"2","0"
"41","NACE",3,48,14,"c3",10.8383827636078,24.5934504816105,17.5919371676112,"3","0"
"42","GWMP",1,20,15,"c1",4.15350181692033,36.2171841104617,20.0537470911366,"1","0"
"43","GWMP",2,20,15,"c2",7.12684234363557,38.3690317009516,22.3553743568918,"2","0"
"44","GWMP",3,20,15,"c3",8.59540906387565,41.5723608987623,24.657001622647,"3","0"
"45","WOTR",1,1,16,"c1",-2.49830589982567,55.5092218231425,26.7896019609423,"1","0"
"46","WOTR",2,6,16,"c2",-2.07993629067144,55.5927292602539,26.9133867775412,"2","0"
"47","WOTR",3,6,16,"c3",-1.7142787115188,55.2051828318001,27.0371715941402,"3","0"
"48","ROCR",1,19,17,"c1",6.09637050925773,25.5750668098244,16.03684310654,"1","0"
"49","ROCR",2,19,17,"c2",5.27184517591065,24.1918751909783,14.8337526861147,"2","0"
"50","ROCR",3,19,17,"c3",3.46188489398671,23.7937945027419,13.6306622656894,"3","0"
"51","HAFE",1,20,18,"c1",-1.53075159436247,12.9920271125396,5.6964505211257,"1","1"
"52","HAFE",2,20,18,"c2",1.44340790982076,15.0638174274438,8.28828299894449,"2","1"
"53","HAFE",3,20,18,"c3",3.78511501171773,17.8627315961716,10.8801154767633,"3","1"
"54","CHOH",1,74,19,"c1",19.5113551118905,33.3539039682885,26.7031399956509,"1","1"
"55","CHOH",2,75,19,"c2",24.6412811109014,37.7121870700905,31.3909153969373,"2","1"
"56","CHOH",3,75,19,"c3",29.4291641280104,42.5629424209151,36.0786907982238,"3","1"
"57","MONO",1,6,20,"c1",14.1397052182156,49.5951664980904,31.4979357554332,"1","1"
"58","MONO",2,15,20,"c2",26.3767364625073,56.1648671700824,41.0592538979204,"2","1"
"59","MONO",3,15,20,"c3",35.3543785240083,65.1814031160821,50.6205720404077,"3","1"
"60","ANTI",1,7,21,"c1",-3.19967118510065,22.1466483255969,9.76856679838385,"1","1"
"61","ANTI",2,12,21,"c2",11.7668076295962,30.118583305467,21.4619349955031,"2","1"
"62","ANTI",3,13,21,"c3",21.6936770310041,43.3227165368902,33.1553031926224,"3","1"
"63","CATO",1,49,22,"c1",10.378904191611,24.5589661108319,17.0692899774182,"1","0"
"64","CATO",2,49,22,"c2",11.6334879434713,25.1243286241851,18.2457335096829,"2","0"
"65","CATO",3,49,22,"c3",12.3143901735476,26.3411993330425,19.4221770419476,"3","0"
"66","FRHI",1,15,23,"c1",2.56209609990362,28.1462313392464,15.3865151902312,"1","1"
"67","FRHI",2,20,23,"c2",12.8024307951489,34.7733093718425,23.7797834890243,"2","1"
"68","FRHI",3,20,23,"c3",20.4255857987685,45.2072731445267,32.1730517878174,"3","1"
"69","FONE",1,15,24,"c1",0.00900734826618996,16.3172033631173,7.63816952523333,"1","1"
"70","FONE",2,20,24,"c2",4.095285769945,19.4028095546695,11.4957296738649,"2","1"
"71","FONE",3,20,24,"c3",7.67131541564773,23.8278542274209,15.3532898224965,"3","1"
"72","GETT",1,32,25,"c1",9.82310254600696,22.7659014720693,16.1492311750975,"1","1"
"73","GETT",2,33,25,"c2",13.1060121660084,25.4132733608616,19.0559616456726,"2","1"
"74","GETT",3,33,25,"c3",15.4548465588454,28.8554409684123,21.9626921162477,"3","1"
"75","VAFO",1,28,26,"c1",17.3870532227953,40.6121023810569,29.4683677961068,"1","0"
"76","VAFO",2,28,26,"c2",16.7193481856897,39.4658907684373,28.4428502008876,"2","0"
"77","VAFO",3,28,26,"c3",15.3402975506941,38.9132817708113,27.4173326056685,"3","0"
"78","HOFU",1,16,27,"c1",12.409999087968,43.6872929964776,27.9102296114338,"1","0"
"79","HOFU",2,16,27,"c2",13.5115407238683,44.2912472979851,29.2740393320284,"2","0"
"80","HOFU",3,16,27,"c3",13.506943200802,47.7142259344691,30.637849052623,"3","0"
"81","JOFL",1,9,28,"c1",-3.41192563802721,7.14402316675714,2.02914146250428,"1","0"
"82","JOFL",2,12,28,"c2",0.356200162941624,8.94312582814294,4.70619720333187,"2","0"
"83","JOFL",3,12,28,"c3",2.43505775630567,12.3048099618538,7.38325294415946,"3","0"
"84","ALPO",1,16,29,"c1",-5.65869204017843,9.84826846364205,2.31661457783132,"1","0"
"85","ALPO",2,22,29,"c2",0.199999013166415,13.1925873871363,6.699892316609,"2","0"
"86","ALPO",3,22,29,"c3",3.7706311641844,18.7050994180742,11.0831700553867,"3","0"
"87","MORR",1,28,30,"c1",14.4931445297869,38.2434250768501,27.0922337240179,"1","1"
"88","MORR",2,28,30,"c2",18.3186371981239,41.6330368936496,30.3438667764358,"2","1"
"89","MORR",3,28,30,"c3",21.8605751033275,45.2597708631166,33.5954998288537,"3","1"
"90","SAHI",1,4,31,"c1",0.823690618079244,4.80265848593014,2.8119568232936,"1","0"
"91","SAHI",2,4,31,"c2",0.733888995843991,4.48584666245287,2.64589915073838,"2","0"
"92","SAHI",3,4,31,"c3",0.482662802880278,4.47066728686737,2.47984147818315,"3","0"
"93","DEWA",1,76,32,"c1",12.2660561468243,23.500629275204,17.9321034966731,"1","0"
"94","DEWA",2,102,32,"c2",12.0796582567603,22.6339041258439,17.3520759097388,"2","0"
"95","DEWA",3,102,32,"c3",11.3999879109235,22.1624349405648,16.7720483228045,"3","0"
"96","WEFA",1,10,33,"c1",-1.57147613700981,6.18046508762063,2.31250286380555,"1","0"
"97","WEFA",2,10,33,"c2",0.0363244040060917,7.06533642451447,3.65916675158185,"2","0"
"98","WEFA",3,10,33,"c3",1.06347206197736,8.79993117946572,5.00583063935815,"3","0"
"99","ROVA",1,40,34,"c1",2.44812635474623,5.70450359791787,4.04504110819822,"1","0"
"100","ROVA",2,40,34,"c2",1.92972207625933,4.93083407556105,3.3789242990845,"2","0"
"101","ROVA",3,40,34,"c3",1.17392463465794,4.39811741806143,2.71280748997078,"3","0"
"102","MIMA",1,20,35,"c1",8.46608100389663,19.258767186211,13.8878171935157,"1","0"
