"","park","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign"
"25","GARI",2,38,9,"c2",4.13562873873908,19.2064490701309,11.4587799340907,"2","1"
"26","GARI",3,43,9,"c3",6.54280868531396,21.5997714344268,13.9714294956562,"3","1"
"27","FRSP",1,104,10,"c1",3.35931864942492,11.2003038657855,7.29328111210235,"1","0"
"28","FRSP",2,104,10,"c2",3.84303433274278,11.836324657589,7.94658927096539,"2","0"
"29","FRSP",3,104,10,"c3",4.22387286515114,12.8199937558926,8.59989742982843,"3","0"
"30","THST",1,8,11,"c1",36.5103323001449,90.6637761577033,63.5631210961269,"1","0"
"31","THST",2,8,11,"c2",40.8911191500474,95.9952694079536,68.117801508962,"2","0"
"32","THST",3,6,11,"c3",44.3039486215866,100.641488050185,72.6724819217972,"3","0"
"33","PRWI",1,145,12,"c1",4.29659472405719,9.37606836726874,6.93622644168984,"1","1"
"34","PRWI",2,145,12,"c2",3.34711005812999,8.3849427343984,5.94886874258895,"2","1"
"35","PRWI",3,145,12,"c3",2.31183405753013,7.44850510172685,4.96151104348807,"3","1"
"36","MANA",1,17,13,"c1",43.5967523000155,76.7157149609044,60.1115996600751,"1","1"
"37","MANA",2,17,13,"c2",48.5984609098291,80.0585750587238,64.3158893036993,"2","1"
"38","MANA",3,17,13,"c3",51.9935874256141,85.540919589487,68.5201789473235,"3","1"
"39","NACE",1,45,14,"c1",45.7531361590044,68.690425666451,57.0843778017238,"1","0"
"40","NACE",2,47,14,"c2",49.1900915371387,70.3162148486528,59.6726870816359,"2","0"
"41","NACE",3,48,14,"c3",51.5083962588777,73.2281473739621,62.2609963615479,"3","0"
"42","GWMP",1,20,15,"c1",31.8849276030595,67.6348662806176,49.8484781195925,"1","0"
"43","GWMP",2,20,15,"c2",33.5902098070681,69.6265552044379,51.7298058650942,"2","0"
"44","GWMP",3,20,15,"c3",34.9209385486074,71.8174908876711,53.6111336105959,"3","0"
"45","WOTR",1,1,16,"c1",12.470540075109,79.4772665522892,46.2864943047111,"1","0"
"46","WOTR",2,6,16,"c2",17.7939996178702,82.6460647413414,50.9500712358556,"2","0"
"47","WOTR",3,6,16,"c3",22.469829512559,87.5635484846679,55.6136481670001,"3","0"
"48","ROCR",1,19,17,"c1",41.280002045027,77.7140888927701,59.1221470676567,"1","0"
"49","ROCR",2,19,17,"c2",41.7944409541478,78.4224286822514,60.0341298353198,"2","0"
"50","ROCR",3,19,17,"c3",42.7475877638986,78.5026775203565,60.9461126029829,"3","0"
"51","HAFE",1,20,18,"c1",31.4899931721134,63.804145035883,47.7840365051776,"1","0"
"52","HAFE",2,20,18,"c2",35.6209234565023,66.0652184667684,50.9564095435562,"2","0"
"53","HAFE",3,20,18,"c3",38.2981050016091,70.4445993262545,54.1287825819347,"3","0"
"54","CHOH",1,74,19,"c1",66.0997762963035,82.6277037202334,74.0730917397572,"1","0"
"55","CHOH",2,75,19,"c2",67.1164197748767,83.4450635865162,75.0179378253233,"2","0"
"56","CHOH",3,75,19,"c3",67.8471853867349,84.8038904263319,75.9627839108895,"3","0"
