"park","guild","coef","estimate","lower","upper","sign"
"MORR","Herbaceous","Intercept",2.999,-8.5081,13.1665,0
"MORR","Shrub","Intercept",12.742,2.0521,22.6178,1
"MORR","Tree","Intercept",-0.05,-10.428,10.41,0
"MORR","Graminoid","Slope",-2.149,-5.5653,1.1151,0
"MORR","Herbaceous","Slope",-0.951,-5.7143,4.2183,0
"MORR","Shrub","Slope",6.292,1.33,11.1101,1
"MORR","Tree","Slope",0.054,-4.6286,4.8175,0
"NACE","Graminoid","Intercept",3.958,-2.1135,9.4445,0
"NACE","Herbaceous","Intercept",12.763,5.4179,20.3441,1
"NACE","Shrub","Intercept",0.213,-7.1803,7.9265,0
"NACE","Graminoid","Slope",1.354,-1.4124,3.9206,0
"NACE","Herbaceous","Slope",-1.284,-4.5462,2.2353,0
"NACE","Shrub","Slope",0.093,-3.4925,3.6896,0
"NERI","Herbaceous","Intercept",0.819,-0.2927,1.925,0
"NERI","Shrub","Intercept",-0.09,-1.5256,1.436,0
"NERI","Tree","Intercept",-0.033,-1.5975,1.4292,0
"NERI","Herbaceous","Slope",-0.04,-0.4867,0.4571,0
"NERI","Shrub","Slope",0.395,-0.2672,1.0632,0
"NERI","Tree","Slope",0.025,-0.6826,0.6883,0
"PETE","Graminoid","Intercept",2.042,-1.4965,5.3507,0
"PETE","Shrub","Intercept",0.14,-4.1045,4.5514,0
"PETE","Graminoid","Slope",1.59,0.0673,2.9966,1
"PETE","Shrub","Slope",-0.007,-2.1701,2.113,0
"PRWI","Graminoid","Intercept",0.818,0.0491,1.5988,1
"PRWI","Herbaceous","Intercept",0.097,-0.8267,1.1597,0
"PRWI","Graminoid","Slope",-0.051,-0.3675,0.28,0
"PRWI","Herbaceous","Slope",-0.016,-0.5042,0.4384,0
"RICH","Graminoid","Intercept",0.5,-2.7381,3.7267,0
"RICH","Herbaceous","Intercept",-0.026,-4.3979,4.1748,0
"RICH","Shrub","Intercept",1.016,-3.1133,4.8828,0
"RICH","Graminoid","Slope",2.117,0.8515,3.4801,1
"RICH","Herbaceous","Slope",0.144,-1.864,2.1666,0
"RICH","Shrub","Slope",-0.24,-2.0664,1.7316,0
"ROCR","Herbaceous","Intercept",16.873,7.5708,26.1369,1
"ROCR","Shrub","Intercept",0.516,-11.3598,12.7004,0
"ROCR","Herbaceous","Slope",-1.156,-5.1028,2.7866,0
"ROCR","Shrub","Slope",0,-5.571,5.3754,0
"ROVA","Graminoid","Intercept",0.817,-0.2823,2.0285,0
"ROVA","Herbaceous","Intercept",2.796,1.1752,4.2967,1
"ROVA","Shrub","Intercept",1.03,-0.604,2.4616,0
"ROVA","Tree","Intercept",0.071,-1.6494,1.5575,0
"ROVA","Graminoid","Slope",-0.1,-0.6492,0.4079,0
"ROVA","Herbaceous","Slope",-0.614,-1.2822,0.1329,0
"ROVA","Shrub","Slope",-0.104,-0.7205,0.6777,0
"ROVA","Tree","Slope",0.16,-0.5413,0.8997,0
"SAGA","Shrub","Intercept",1.067,-0.843,2.9222,0
"SAGA","Tree","Intercept",-0.002,-2.3233,2.5671,0
"SAGA","Shrub","Slope",-0.005,-0.8099,0.7915,0
"SAGA","Tree","Slope",0.001,-1.1626,1.1294,0
"SAHI","Herbaceous","Intercept",0.047,-1.738,1.8318,0
"SAHI","Shrub","Intercept",1.755,-0.7976,4.1321,0
"SAHI","Tree","Intercept",1.164,-1.3378,3.7261,0
"SAHI","Herbaceous","Slope",0.039,-0.7559,0.856,0
"SAHI","Shrub","Slope",0.126,-1.0393,1.2941,0
"SAHI","Tree","Slope",-0.347,-1.4957,0.8493,0
"SARA","Herbaceous","Intercept",0.007,-6.2253,5.9943,0
"SARA","Shrub","Intercept",9.356,1.2345,16.9902,1
"SARA","Herbaceous","Slope",0.234,-2.2082,2.6316,0
"SARA","Shrub","Slope",2.368,-1.4181,6.0055,0
"THST","Graminoid","Intercept",-0.538,-6.8946,5.6303,0
"THST","Herbaceous","Intercept",0.115,-8.4343,8.8463,0
"THST","Shrub","Intercept",0.473,-9.0321,9.0213,0
"THST","Graminoid","Slope",4.435,1.4573,7.5965,1
"THST","Herbaceous","Slope",-0.046,-4.1167,3.9641,0
"THST","Shrub","Slope",-0.107,-4.1266,4.3895,0
"VAFO","Graminoid","Intercept",31.325,22.5752,40.6021,1
"VAFO","Herbaceous","Intercept",-0.252,-11.4607,11.4048,0
"VAFO","Shrub","Intercept",-0.668,-12.3931,10.7426,0
"VAFO","Tree","Intercept",-0.229,-11.7915,11.3246,0
"VAFO","Graminoid","Slope",-2.951,-6.6282,0.8052,0
"VAFO","Herbaceous","Slope",0.735,-4.7653,5.8416,0
"VAFO","Shrub","Slope",1.051,-4.5121,6.8123,0
"VAFO","Tree","Slope",0.245,-4.9646,5.5415,0
"WEFA","Graminoid","Intercept",-0.1,-2.3657,2.4275,0
"WEFA","Herbaceous","Intercept",1.654,-1.6815,5.007,0
"WEFA","Shrub","Intercept",-0.67,-4.0221,2.5638,0
"WEFA","Tree","Intercept",0.006,-3.3255,3.2557,0
"WEFA","Graminoid","Slope",0.079,-0.9465,1.1066,0
"WEFA","Herbaceous","Slope",-0.418,-2.0325,1.155,0
"WEFA","Shrub","Slope",1.688,0.1476,3.2646,1
"WEFA","Tree","Slope",0,-1.4816,1.5136,0
"WOTR","Graminoid","Intercept",19.087,-5.4602,42.8155,0
"WOTR","Herbaceous","Intercept",4.351,-26.3131,35.4654,0
"WOTR","Shrub","Intercept",3.086,-28.9216,34.4846,0
"WOTR","Graminoid","Slope",0.122,-8.7458,9.639,0
"WOTR","Herbaceous","Slope",1.191,-11.4554,13.5744,0
"WOTR","Shrub","Slope",-0.824,-12.594,11.2607,0
