"","park","guild","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign","guildsign"
"97","PRWI","Herbaceous",3,145,12,"c3_Herbaceous",0.00846735454796588,0.0468647820266568,0.0281307668741121,"3","0","Herbaceous_0"
"98","MANA","Graminoid",1,19,13,"c1_Graminoid",0.133632260602289,0.438620463635271,0.284466132025085,"1","1","Graminoid_1"
"99","MANA","Graminoid",2,17,13,"c2_Graminoid",0.262408554745171,0.515544516991926,0.387667505163894,"2","1","Graminoid_1"
"100","MANA","Graminoid",3,17,13,"c3_Graminoid",0.346174729704522,0.649085980101377,0.490868878302703,"3","1","Graminoid_1"
"101","MANA","Herbaceous",1,19,13,"c1_Herbaceous",0.470899215816944,0.754441462835469,0.616479062557621,"1","0","Herbaceous_0"
"102","MANA","Herbaceous",2,17,13,"c2_Herbaceous",0.439963920108933,0.694522135490488,0.567354738766979,"2","0","Herbaceous_0"
"103","MANA","Herbaceous",3,17,13,"c3_Herbaceous",0.361598046810365,0.683257926093029,0.518230414976337,"3","0","Herbaceous_0"
"104","MANA","Shrub",1,19,13,"c1_Shrub",-0.145961087471205,0.184648185201974,0.0185322352765728,"1","0","Shrub_0"
"105","MANA","Shrub",2,17,13,"c2_Shrub",-0.0888142108481029,0.174294004736314,0.0418713855152207,"2","0","Shrub_0"
"106","MANA","Shrub",3,17,13,"c3_Shrub",-0.0849298047475052,0.212668042570528,0.0652105357538687,"3","0","Shrub_0"
"107","NACE","Graminoid",1,45,14,"c1_Graminoid",0.0186459218001537,0.261877466699448,0.145775820290622,"1","0","Graminoid_0"
"108","NACE","Graminoid",2,47,14,"c2_Graminoid",0.107999186250934,0.279677000772134,0.197319901800246,"2","0","Graminoid_0"
"109","NACE","Graminoid",3,48,14,"c3_Graminoid",0.124537577631065,0.365183956563863,0.24886398330987,"3","0","Graminoid_0"
"110","NACE","Herbaceous",1,45,14,"c1_Herbaceous",0.655115483104197,0.887738625937002,0.772903039790747,"1","0","Herbaceous_0"
"111","NACE","Herbaceous",2,47,14,"c2_Herbaceous",0.725137123980712,0.89413143412667,0.809838702420962,"2","0","Herbaceous_0"
"112","NACE","Herbaceous",3,48,14,"c3_Herbaceous",0.728282698973161,0.961958439076439,0.846774365051177,"3","0","Herbaceous_0"
"113","NACE","Shrub",1,45,14,"c1_Shrub",-0.0947526167446775,0.135113674650333,0.0216923298916246,"1","0","Shrub_0"
"114","NACE","Shrub",2,47,14,"c2_Shrub",-0.0549817737925312,0.102654190000859,0.0274062960874229,"2","0","Shrub_0"
"115","NACE","Shrub",3,48,14,"c3_Shrub",-0.080551205444797,0.144955975974443,0.0331202622832212,"3","0","Shrub_0"
"116","NACE","Tree",1,45,14,"c1_Tree",-0.110631610804134,0.126192433579711,0.00951314019198516,"1","0","Tree_0"
"117","NACE","Tree",2,47,14,"c2_Tree",-0.0645337902962752,0.102476549254497,0.017952203241883,"2","0","Tree_0"
"118","NACE","Tree",3,48,14,"c3_Tree",-0.0938127722772357,0.146366956583674,0.0263912662917809,"3","0","Tree_0"
"119","GWMP","Graminoid",1,20,15,"c1_Graminoid",-0.119392491828476,0.328682616302244,0.104490405433444,"1","0","Graminoid_0"
"120","GWMP","Graminoid",2,20,15,"c2_Graminoid",-0.0611231492398992,0.269774801791662,0.105407221827392,"2","0","Graminoid_0"
"121","GWMP","Graminoid",3,20,15,"c3_Graminoid",-0.117769574155236,0.330554442636457,0.106324038221341,"3","0","Graminoid_0"
"122","GWMP","Herbaceous",1,20,15,"c1_Herbaceous",0.569240152753822,1.007029249881,0.785621305691523,"1","0","Herbaceous_0"
"123","GWMP","Herbaceous",2,20,15,"c2_Herbaceous",0.744657537812027,1.07707811579698,0.908403764142239,"2","0","Herbaceous_0"
"124","GWMP","Herbaceous",3,20,15,"c3_Herbaceous",0.797565904128924,1.24926440574712,1.03118622259295,"3","0","Herbaceous_0"
"125","GWMP","Shrub",1,20,15,"c1_Shrub",-0.17131269468556,0.257462899876004,0.0475286703358081,"1","0","Shrub_0"
"126","GWMP","Shrub",2,20,15,"c2_Shrub",-0.0924060559434242,0.256180222480034,0.0744740886507461,"2","0","Shrub_0"
"127","GWMP","Shrub",3,20,15,"c3_Shrub",-0.118014254756991,0.329297493480877,0.101419506965684,"3","0","Shrub_0"
"128","GWMP","Tree",1,20,15,"c1_Tree",-0.19890850135134,0.247591566545239,0.0232176258250291,"1","0","Tree_0"
"129","GWMP","Tree",2,20,15,"c2_Tree",-0.137887575692606,0.194633964282636,0.0233541318160747,"2","0","Tree_0"
"130","GWMP","Tree",3,20,15,"c3_Tree",-0.216529354284624,0.24404341012677,0.0234906378071203,"3","0","Tree_0"
"131","WOTR","Graminoid",1,1,16,"c1_Graminoid",-0.13553045409827,1.00678842536566,0.435895638657463,"1","0","Graminoid_0"
"132","WOTR","Graminoid",2,6,16,"c2_Graminoid",0.0910029042396425,0.834149773765677,0.455920243906923,"2","0","Graminoid_0"
"133","WOTR","Graminoid",3,6,16,"c3_Graminoid",0.0866761187155902,0.834117116826551,0.475944849156383,"3","0","Graminoid_0"
"134","WOTR","Herbaceous",1,1,16,"c1_Herbaceous",0.116503273952309,1.23930422209323,0.676372050888942,"1","0","Herbaceous_0"
"135","WOTR","Herbaceous",2,6,16,"c2_Herbaceous",0.418936921708143,1.14291058886406,0.787701699355588,"2","0","Herbaceous_0"
"136","WOTR","Herbaceous",3,6,16,"c3_Herbaceous",0.503712703034846,1.28562340586156,0.899031347822235,"3","0","Herbaceous_0"
"137","WOTR","Shrub",1,1,16,"c1_Shrub",-0.483571000367249,0.705998562534354,0.104128276229224,"1","0","Shrub_0"
"138","WOTR","Shrub",2,6,16,"c2_Shrub",-0.242705448773598,0.511036940914978,0.131397330268624,"2","0","Shrub_0"
"139","WOTR","Shrub",3,6,16,"c3_Shrub",-0.237819364493164,0.571612258284279,0.158666384308024,"3","0","Shrub_0"
"140","WOTR","Tree",1,1,16,"c1_Tree",-0.519890251037377,0.63155151958113,0.052083647709214,"1","0","Tree_0"
