"","park","cycle","numplots","lat.rank","group","lower","upper","mean","cycle2","sign"
"45","WOTR",1,1,16,"c1",0.0761784634690038,2.4723940314325,1.28983333984957,"1","1"
"46","WOTR",2,6,16,"c2",0.208248799499896,2.59102332611728,1.41813694474841,"2","1"
"47","WOTR",3,6,16,"c3",0.340380892781631,2.71054804069179,1.54644054964724,"3","1"
"48","ROCR",1,19,17,"c1",0.580210880918025,1.42318521205835,0.991702239520359,"1","1"
"49","ROCR",2,19,17,"c2",0.761933184065129,1.57132217941286,1.16551950439679,"2","1"
"50","ROCR",3,19,17,"c3",0.928723868994836,1.74276055648415,1.33933676927322,"3","1"
"51","HAFE",1,20,18,"c1",0.420756604585122,0.980675452449006,0.692912288048606,"1","0"
"52","HAFE",2,20,18,"c2",0.495350731745567,1.04248277863486,0.759503449154948,"2","0"
"53","HAFE",3,20,18,"c3",0.541780731683228,1.11752443657998,0.826094610261289,"3","0"
"54","CHOH",1,74,19,"c1",1.44595758814753,2.06109700147975,1.74105422110476,"1","1"
"55","CHOH",2,75,19,"c2",1.60569463786711,2.18903289557561,1.89085538636905,"2","1"
"56","CHOH",3,75,19,"c3",1.74993016148344,2.34189286625084,2.04065655163333,"3","1"
"57","MONO",1,6,20,"c1",1.4774507655851,2.60144225646775,2.05124679372162,"1","0"
"58","MONO",2,15,20,"c2",1.52803188381175,2.57166387955127,2.07356409420198,"2","0"
"59","MONO",3,15,20,"c3",1.55709302464606,2.59828151609469,2.09588139468234,"3","0"
"60","ANTI",1,7,21,"c1",0.957738564180412,1.96459216054332,1.47463967169978,"1","1"
"61","ANTI",2,12,21,"c2",1.26319896017277,2.17833261382623,1.72037269035259,"2","1"
"62","ANTI",3,13,21,"c3",1.49881386752464,2.44331291088287,1.96610570900541,"3","1"
"63","CATO",1,49,22,"c1",0.454857214042361,0.901109833621397,0.683830002333258,"1","1"
"64","CATO",2,49,22,"c2",0.542160291891421,0.979874057664229,0.765155908904361,"2","1"
"65","CATO",3,49,22,"c3",0.631399832390785,1.058408898093,0.846481815475464,"3","1"
"66","FRHI",1,15,23,"c1",0.870496917438046,1.80147952922341,1.33005426838897,"1","1"
"67","FRHI",2,20,23,"c2",1.275933997549,2.13875304317983,1.69715818702023,"2","1"
"68","FRHI",3,20,23,"c3",1.62989095162005,2.52095746582599,2.06426210565149,"3","1"
"69","FONE",1,15,24,"c1",0.237542625930719,0.729859228711267,0.484619945296457,"1","1"
"70","FONE",2,20,24,"c2",0.357621690945989,0.829739947867791,0.59012629918257,"2","1"
"71","FONE",3,20,24,"c3",0.455992114715506,0.932636601857863,0.695632653068682,"3","1"
"72","GETT",1,32,25,"c1",1.25000273133518,1.92909101012188,1.59943369268968,"1","1"
"73","GETT",2,33,25,"c2",1.63021967117355,2.27849700122285,1.96685956749515,"2","1"
"74","GETT",3,33,25,"c3",1.99257758520032,2.6653999058684,2.33428544230062,"3","1"
"75","VAFO",1,28,26,"c1",0.511087497820933,1.42933999501742,0.990660010160432,"1","1"
"76","VAFO",2,28,26,"c2",0.93164037776455,1.80268418533366,1.39009589067069,"2","1"
"77","VAFO",3,28,26,"c3",1.28405096234151,2.24881922111942,1.78953177118095,"3","1"
"78","HOFU",1,16,27,"c1",0.675676609188516,1.69852558993833,1.17482774567506,"1","1"
"79","HOFU",2,16,27,"c2",0.872907033070603,1.91181407341898,1.38530913178139,"2","1"
"80","HOFU",3,16,27,"c3",1.07661567267103,2.12700686065172,1.59579051788772,"3","1"
"81","JOFL",1,9,28,"c1",0.0187430272772845,0.426449271261091,0.222287465284898,"1","0"
"82","JOFL",2,12,28,"c2",0.112077716890891,0.465859277069646,0.290754117164891,"2","0"
"83","JOFL",3,12,28,"c3",0.154925786461335,0.549075669783719,0.359220769044883,"3","0"
"84","ALPO",1,16,29,"c1",-0.175344128939392,0.560628809501833,0.222785617032425,"1","1"
"85","ALPO",2,22,29,"c2",0.0197014007520132,0.696526702400816,0.380553044017174,"2","1"
"86","ALPO",3,22,29,"c3",0.1878387033791,0.876203662204599,0.538320471001922,"3","1"
"87","MORR",1,28,30,"c1",1.49414064132607,2.67965038918278,2.06211818269537,"1","0"
"88","MORR",2,28,30,"c2",1.57194795950135,2.75900835779323,2.15620375158787,"2","0"
"89","MORR",3,28,30,"c3",1.63879529650112,2.87162955588735,2.25028932048036,"3","0"
"90","SAHI",1,4,31,"c1",0.832123237378925,1.86114584343884,1.33147920961442,"1","0"
"91","SAHI",2,4,31,"c2",0.987367177218371,1.81053820113473,1.41001921850481,"2","0"
"92","SAHI",3,4,31,"c3",0.9721046606316,2.01571205198001,1.4885592273952,"3","0"
"93","DEWA",1,76,32,"c1",0.640829247350048,1.11619369579143,0.887528434320835,"1","1"
"94","DEWA",2,102,32,"c2",0.722145353244089,1.17338706075137,0.950783893808904,"2","1"
"95","DEWA",3,102,32,"c3",0.78226161856551,1.23578465311304,1.01403935329697,"3","1"
"96","WEFA",1,10,33,"c1",-0.149534372612604,1.55938925166886,0.702510774248472,"1","1"
"97","WEFA",2,10,33,"c2",0.0719844821861783,1.7551284913566,0.929577024024828,"2","1"
"98","WEFA",3,10,33,"c3",0.280776490672675,2.00162392822344,1.15664327380118,"3","1"
"99","ROVA",1,40,34,"c1",0.458127370248315,0.879369651532318,0.670827862940741,"1","0"
